X,Y,#
3656,2740,37
x,y
[1365 2736]
[1364 2737]
[1362 2737]
[1361 2738]
[1361 2739]
[1374 2739]
[1374 2737]
[1373 2736]
[1370 2736]
[1369 2737]
[1368 2737]
[1367 2736]
[ 357 2628]
[ 356 2629]
[ 355 2629]
[ 352 2632]
[ 352 2635]
[ 351 2636]
[ 351 2638]
[ 352 2639]
[ 352 2641]
[ 355 2644]
[ 355 2645]
[ 356 2645]
[ 357 2644]
[ 359 2644]
[ 360 2645]
[ 363 2645]
[ 363 2644]
[ 365 2642]
[ 366 2642]
[ 365 2641]
[ 365 2638]
[ 366 2637]
[ 366 2636]
[ 367 2635]
[ 366 2636]
[ 365 2635]
[ 365 2631]
[ 364 2630]
[ 363 2630]
[ 362 2629]
[ 362 2628]
[ 287 2594]
[ 286 2595]
[ 281 2595]
[ 280 2596]
[ 278 2596]
[ 276 2598]
[ 275 2597]
[ 274 2598]
[ 274 2600]
[ 273 2601]
[ 273 2604]
[ 272 2605]
[ 271 2604]
[ 271 2608]
[ 272 2609]
[ 272 2614]
[ 273 2615]
[ 273 2616]
[ 274 2617]
[ 274 2618]
[ 276 2620]
[ 277 2620]
[ 279 2622]
[ 281 2622]
[ 283 2624]
[ 291 2624]
[ 293 2622]
[ 295 2622]
[ 297 2620]
[ 297 2619]
[ 298 2618]
[ 298 2616]
[ 299 2615]
[ 299 2614]
[ 300 2613]
[ 299 2612]
[ 299 2610]
[ 298 2609]
[ 299 2608]
[ 298 2608]
[ 297 2607]
[ 297 2605]
[ 296 2604]
[ 296 2603]
[ 295 2602]
[ 295 2601]
[ 294 2600]
[ 295 2599]
[ 293 2599]
[ 292 2598]
[ 291 2598]
[ 289 2596]
[ 289 2595]
[ 288 2594]
[ 330 2415]
[ 330 2419]
[ 333 2422]
[ 335 2422]
[ 335 2421]
[ 336 2420]
[ 336 2419]
[ 337 2418]
[ 336 2417]
[ 336 2415]
[ 335 2416]
[ 331 2416]
[  88 1989]
[  87 1990]
[  84 1990]
[  83 1991]
[  82 1991]
[  81 1992]
[  80 1992]
[  80 1993]
[  79 1994]
[  77 1994]
[  77 1995]
[  76 1996]
[  76 1997]
[  75 1998]
[  73 1998]
[  73 2000]
[  72 2001]
[  71 2000]
[  72 2001]
[  68 2005]
[  68 2007]
[  66 2009]
[  66 2010]
[  65 2011]
[  65 2012]
[  64 2013]
[  64 2014]
[  63 2015]
[  64 2016]
[  63 2017]
[  63 2023]
[  66 2026]
[  66 2027]
[  67 2027]
[  68 2028]
[  69 2028]
[  70 2029]
[  71 2029]
[  72 2030]
[  79 2030]
[  80 2029]
[  81 2029]
[  83 2027]
[  84 2027]
[  85 2026]
[  87 2026]
[  88 2025]
[  88 2024]
[  89 2023]
[  90 2023]
[  91 2022]
[  98 2022]
[ 100 2020]
[ 100 2019]
[ 101 2018]
[ 101 2017]
[ 102 2016]
[ 102 2015]
[ 103 2014]
[ 102 2013]
[ 102 2011]
[ 103 2010]
[ 103 2007]
[ 102 2006]
[ 103 2005]
[ 102 2004]
[ 102 2002]
[ 103 2001]
[ 101 1999]
[ 103 1997]
[ 102 1996]
[ 102 1995]
[ 100 1993]
[  99 1993]
[  98 1992]
[  98 1991]
[  96 1989]
[ 286 1983]
[ 285 1984]
[ 284 1984]
[ 283 1985]
[ 282 1985]
[ 282 1987]
[ 280 1989]
[ 279 1989]
[ 279 1992]
[ 278 1993]
[ 278 1994]
[ 277 1995]
[ 276 1995]
[ 277 1996]
[ 277 2001]
[ 278 2002]
[ 278 2003]
[ 279 2004]
[ 279 2005]
[ 280 2006]
[ 280 2008]
[ 281 2009]
[ 281 2011]
[ 282 2011]
[ 284 2013]
[ 284 2015]
[ 285 2016]
[ 285 2017]
[ 287 2019]
[ 287 2020]
[ 288 2020]
[ 290 2022]
[ 290 2025]
[ 295 2030]
[ 295 2032]
[ 297 2034]
[ 297 2038]
[ 298 2038]
[ 300 2040]
[ 300 2045]
[ 299 2046]
[ 299 2057]
[ 298 2058]
[ 298 2059]
[ 299 2060]
[ 299 2063]
[ 300 2064]
[ 300 2071]
[ 301 2072]
[ 301 2073]
[ 304 2076]
[ 304 2077]
[ 306 2077]
[ 307 2078]
[ 307 2079]
[ 308 2080]
[ 309 2080]
[ 314 2085]
[ 315 2085]
[ 316 2086]
[ 316 2088]
[ 317 2089]
[ 317 2091]
[ 321 2095]
[ 320 2096]
[ 321 2097]
[ 321 2098]
[ 322 2099]
[ 322 2102]
[ 323 2103]
[ 323 2105]
[ 324 2105]
[ 325 2106]
[ 325 2107]
[ 326 2108]
[ 326 2111]
[ 327 2112]
[ 327 2114]
[ 328 2115]
[ 328 2116]
[ 329 2117]
[ 329 2118]
[ 332 2121]
[ 333 2121]
[ 336 2124]
[ 337 2124]
[ 339 2126]
[ 340 2126]
[ 341 2127]
[ 341 2128]
[ 342 2128]
[ 343 2129]
[ 343 2130]
[ 344 2131]
[ 344 2133]
[ 348 2133]
[ 350 2135]
[ 351 2134]
[ 353 2136]
[ 354 2136]
[ 355 2137]
[ 355 2138]
[ 357 2140]
[ 357 2141]
[ 358 2142]
[ 358 2144]
[ 359 2144]
[ 360 2145]
[ 360 2146]
[ 363 2149]
[ 366 2149]
[ 367 2150]
[ 368 2150]
[ 369 2151]
[ 370 2151]
[ 372 2153]
[ 374 2153]
[ 375 2154]
[ 376 2154]
[ 378 2156]
[ 379 2156]
[ 381 2158]
[ 385 2158]
[ 386 2159]
[ 386 2160]
[ 388 2162]
[ 388 2164]
[ 389 2165]
[ 390 2165]
[ 391 2166]
[ 392 2166]
[ 393 2167]
[ 394 2167]
[ 395 2168]
[ 396 2167]
[ 399 2167]
[ 400 2166]
[ 403 2166]
[ 404 2165]
[ 406 2165]
[ 407 2164]
[ 411 2164]
[ 412 2163]
[ 428 2163]
[ 429 2164]
[ 431 2164]
[ 432 2165]
[ 433 2165]
[ 434 2164]
[ 436 2164]
[ 438 2162]
[ 440 2162]
[ 441 2161]
[ 441 2157]
[ 442 2156]
[ 442 2155]
[ 443 2154]
[ 442 2153]
[ 442 2144]
[ 441 2143]
[ 442 2142]
[ 442 2139]
[ 441 2138]
[ 442 2137]
[ 442 2136]
[ 440 2134]
[ 440 2131]
[ 439 2130]
[ 439 2128]
[ 437 2126]
[ 437 2123]
[ 434 2120]
[ 434 2119]
[ 433 2118]
[ 433 2116]
[ 431 2114]
[ 431 2111]
[ 430 2111]
[ 429 2110]
[ 429 2108]
[ 428 2107]
[ 428 2106]
[ 427 2105]
[ 426 2105]
[ 425 2104]
[ 425 2103]
[ 424 2102]
[ 424 2101]
[ 423 2100]
[ 422 2100]
[ 419 2097]
[ 419 2096]
[ 417 2094]
[ 415 2094]
[ 414 2093]
[ 414 2090]
[ 413 2090]
[ 412 2089]
[ 411 2089]
[ 410 2088]
[ 410 2086]
[ 409 2085]
[ 408 2085]
[ 406 2083]
[ 406 2082]
[ 404 2080]
[ 404 2079]
[ 402 2079]
[ 401 2078]
[ 401 2077]
[ 399 2075]
[ 399 2074]
[ 397 2072]
[ 397 2071]
[ 395 2071]
[ 394 2070]
[ 394 2069]
[ 392 2067]
[ 392 2066]
[ 391 2065]
[ 390 2065]
[ 389 2064]
[ 389 2063]
[ 388 2062]
[ 388 2060]
[ 387 2059]
[ 387 2058]
[ 385 2058]
[ 380 2053]
[ 380 2051]
[ 379 2050]
[ 378 2050]
[ 377 2049]
[ 377 2048]
[ 377 2049]
[ 376 2050]
[ 375 2049]
[ 375 2048]
[ 374 2047]
[ 375 2046]
[ 373 2044]
[ 373 2043]
[ 372 2042]
[ 371 2042]
[ 367 2038]
[ 367 2037]
[ 366 2037]
[ 362 2033]
[ 362 2032]
[ 361 2032]
[ 360 2031]
[ 360 2029]
[ 359 2030]
[ 358 2030]
[ 357 2029]
[ 357 2027]
[ 355 2027]
[ 353 2025]
[ 353 2024]
[ 352 2023]
[ 351 2023]
[ 348 2020]
[ 347 2020]
[ 346 2019]
[ 346 2017]
[ 345 2016]
[ 344 2016]
[ 343 2015]
[ 342 2016]
[ 341 2015]
[ 341 2014]
[ 336 2009]
[ 335 2009]
[ 334 2008]
[ 334 2007]
[ 333 2007]
[ 332 2006]
[ 332 2005]
[ 331 2006]
[ 329 2004]
[ 328 2004]
[ 327 2003]
[ 327 2001]
[ 326 2000]
[ 324 2000]
[ 320 1996]
[ 318 1996]
[ 317 1995]
[ 318 1994]
[ 315 1994]
[ 314 1993]
[ 312 1993]
[ 311 1992]
[ 311 1990]
[ 310 1990]
[ 309 1989]
[ 307 1989]
[ 306 1988]
[ 304 1988]
[ 302 1986]
[ 302 1985]
[ 301 1985]
[ 300 1986]
[ 299 1986]
[ 297 1984]
[ 295 1984]
[ 294 1983]
[ 293 1983]
[ 292 1984]
[ 291 1984]
[ 290 1983]
[ 289 1983]
[ 288 1984]
[ 287 1984]
[   0 1708]
[   0 1756]
[   1 1757]
[   2 1757]
[   4 1755]
[   5 1755]
[   5 1754]
[   6 1753]
[   8 1753]
[   8 1752]
[  10 1750]
[  10 1749]
[  11 1748]
[  12 1748]
[  12 1745]
[  15 1742]
[  15 1737]
[  16 1736]
[  16 1728]
[  15 1727]
[  15 1723]
[  14 1722]
[  14 1719]
[  13 1718]
[  13 1717]
[  12 1717]
[  11 1716]
[  11 1715]
[   9 1713]
[   8 1713]
[   7 1712]
[   8 1711]
[   7 1710]
[   5 1710]
[   4 1709]
[   2 1709]
[   1 1708]
[1882 1687]
[1880 1689]
[1877 1689]
[1876 1690]
[1875 1690]
[1874 1691]
[1875 1692]
[1875 1693]
[1874 1694]
[1874 1695]
[1875 1696]
[1875 1697]
[1877 1699]
[1877 1701]
[1878 1702]
[1878 1704]
[1879 1703]
[1880 1704]
[1880 1705]
[1882 1707]
[1883 1707]
[1884 1706]
[1885 1707]
[1886 1707]
[1887 1708]
[1890 1708]
[1891 1709]
[1894 1709]
[1895 1710]
[1897 1708]
[1897 1707]
[1898 1706]
[1898 1705]
[1899 1704]
[1899 1701]
[1897 1699]
[1897 1696]
[1896 1696]
[1895 1695]
[1895 1694]
[1894 1693]
[1893 1693]
[1891 1691]
[1891 1690]
[1889 1690]
[1888 1689]
[1886 1689]
[1885 1690]
[1884 1690]
[1883 1689]
[1883 1688]
[2123 1452]
[2124 1453]
[2123 1454]
[2122 1454]
[2121 1453]
[2120 1453]
[2120 1456]
[2119 1457]
[2118 1457]
[2118 1458]
[2120 1460]
[2118 1462]
[2119 1463]
[2121 1463]
[2122 1464]
[2122 1463]
[2123 1462]
[2123 1460]
[2124 1459]
[2125 1459]
[2125 1458]
[2127 1456]
[2128 1457]
[2129 1457]
[2129 1455]
[2127 1455]
[2125 1453]
[2126 1452]
[2910 1450]
[2910 1453]
[2909 1454]
[2909 1455]
[2911 1457]
[2915 1457]
[2915 1456]
[2916 1455]
[2917 1455]
[2917 1454]
[2915 1452]
[2912 1452]
[2911 1451]
[2911 1450]
[1244 1348]
[1243 1349]
[1242 1349]
[1241 1350]
[1240 1350]
[1239 1349]
[1238 1350]
[1237 1350]
[1236 1351]
[1235 1351]
[1234 1352]
[1233 1352]
[1232 1353]
[1232 1355]
[1231 1356]
[1230 1356]
[1230 1357]
[1229 1358]
[1229 1359]
[1230 1360]
[1227 1363]
[1227 1365]
[1228 1366]
[1228 1367]
[1226 1369]
[1227 1370]
[1227 1373]
[1228 1374]
[1228 1377]
[1229 1378]
[1229 1382]
[1230 1383]
[1230 1393]
[1231 1394]
[1231 1395]
[1232 1396]
[1232 1401]
[1233 1402]
[1233 1404]
[1235 1406]
[1235 1409]
[1236 1410]
[1236 1414]
[1237 1415]
[1237 1416]
[1236 1417]
[1235 1417]
[1235 1419]
[1236 1420]
[1236 1425]
[1235 1426]
[1235 1429]
[1234 1430]
[1234 1431]
[1235 1432]
[1235 1433]
[1234 1434]
[1234 1436]
[1235 1437]
[1235 1439]
[1234 1440]
[1234 1443]
[1235 1444]
[1235 1446]
[1234 1447]
[1236 1449]
[1236 1450]
[1235 1451]
[1235 1452]
[1236 1453]
[1236 1455]
[1237 1456]
[1237 1458]
[1238 1459]
[1238 1461]
[1240 1463]
