X,Y,#
3656,2740,37
x,y,size
1313,1483,29678
356,2074,13944
2445,931,9490
447,1342,2966
768,854,2663
84,2010,1178
2398,844,1170
26,875,1168
410,1275,1146
378,1014,1014
2842,993,984
2224,930,900
1797,864,874
287,2608,632
9,1731,587
12,927,574
2679,743,366
1886,1698,364
2350,722,302
65,918,292
78,1164,242
360,2637,197
714,810,130
552,1234,106
135,916,96
52,1283,86
643,1007,80
77,899,66
2123,1457,60
2153,1288,56
3247,587,53
2787,822,43
2913,1454,34
334,2418,32
1367,2737,32
1409,732,30
2127,1095,23
