X,Y,#
3656,2740,41
x,y
[1260 2644]
[1258 2646]
[1257 2646]
[1257 2648]
[1256 2649]
[1256 2650]
[1257 2651]
[1259 2651]
[1260 2652]
[1261 2652]
[1264 2649]
[1263 2648]
[1263 2646]
[1261 2644]
[ 810 2600]
[ 809 2601]
[ 807 2601]
[ 806 2602]
[ 805 2602]
[ 805 2607]
[ 806 2607]
[ 807 2606]
[ 808 2607]
[ 809 2607]
[ 811 2605]
[ 811 2604]
[ 813 2602]
[ 811 2600]
[3317 2549]
[3314 2552]
[3314 2557]
[3316 2559]
[3315 2560]
[3317 2560]
[3319 2562]
[3320 2561]
[3321 2562]
[3323 2562]
[3324 2561]
[3325 2561]
[3325 2560]
[3326 2559]
[3326 2555]
[3324 2553]
[3324 2552]
[3322 2550]
[3321 2550]
[3320 2549]
[3319 2550]
[3318 2549]
[ 940 2454]
[ 938 2456]
[ 937 2456]
[ 936 2457]
[ 936 2460]
[ 935 2461]
[ 939 2461]
[ 940 2462]
[ 941 2461]
[ 942 2461]
[ 944 2459]
[ 944 2458]
[ 943 2457]
[ 943 2456]
[ 941 2454]
[1062 2391]
[1060 2393]
[1059 2393]
[1059 2394]
[1058 2395]
[1058 2398]
[1060 2400]
[1063 2400]
[1064 2399]
[1065 2399]
[1066 2398]
[1066 2393]
[1065 2393]
[1064 2392]
[1064 2391]
[ 459 2346]
[ 458 2347]
[ 457 2347]
[ 455 2349]
[ 454 2349]
[ 454 2353]
[ 455 2354]
[ 455 2353]
[ 456 2352]
[ 458 2354]
[ 459 2354]
[ 460 2353]
[ 461 2353]
[ 462 2352]
[ 462 2351]
[ 463 2350]
[ 465 2350]
[ 466 2349]
[ 466 2348]
[ 465 2347]
[ 464 2347]
[ 463 2346]
[1153 2336]
[1152 2337]
[1151 2337]
[1151 2338]
[1150 2339]
[1150 2342]
[1151 2343]
[1153 2343]
[1155 2341]
[1156 2341]
[1156 2338]
[1155 2337]
[1154 2337]
[ 311 2208]
[ 312 2209]
[ 312 2210]
[ 310 2212]
[ 312 2214]
[ 312 2215]
[ 313 2214]
[ 314 2214]
[ 315 2213]
[ 316 2213]
[ 317 2212]
[ 319 2212]
[ 319 2210]
[ 318 2210]
[ 317 2209]
[ 317 2208]
[ 316 2208]
[ 314 2210]
[ 313 2209]
[ 312 2209]
[ 236 2175]
[ 235 2176]
[ 234 2176]
[ 232 2178]
[ 232 2180]
[ 231 2181]
[ 236 2181]
[ 237 2180]
[ 238 2180]
[ 239 2179]
[ 241 2179]
[ 242 2178]
[ 242 2177]
[ 241 2176]
[ 240 2176]
[ 239 2177]
[ 237 2177]
[ 236 2176]
[ 855 2119]
[ 852 2122]
[ 852 2123]
[ 851 2124]
[ 851 2125]
[ 852 2126]
[ 853 2126]
[ 854 2127]
[ 855 2126]
[ 857 2126]
[ 859 2124]
[ 859 2121]
[ 858 2120]
[ 858 2119]
[1844 1926]
[1841 1929]
[1841 1933]
[1842 1934]
[1842 1935]
[1843 1936]
[1845 1936]
[1846 1937]
[1848 1937]
[1851 1934]
[1851 1931]
[1850 1930]
[1850 1929]
[1849 1928]
[1849 1927]
[1848 1927]
[1847 1926]
[1760 1917]
[1760 1921]
[1761 1922]
[1762 1922]
[1763 1921]
[1765 1921]
[1765 1918]
[1764 1917]
[2631 1842]
[2630 1843]
[2629 1843]
[2628 1844]
[2628 1845]
[2627 1846]
[2627 1847]
[2628 1848]
[2628 1851]
[2629 1851]
[2630 1852]
[2631 1852]
[2632 1853]
[2633 1852]
[2634 1852]
[2635 1851]
[2636 1851]
[2637 1850]
[2637 1845]
[2634 1842]
[1378 1777]
[1377 1778]
[1375 1778]
[1374 1779]
[1373 1779]
[1371 1781]
[1370 1781]
[1370 1787]
[1371 1788]
[1371 1789]
[1373 1789]
[1374 1790]
[1375 1790]
[1376 1791]
[1377 1790]
[1378 1790]
[1379 1789]
[1380 1789]
[1381 1788]
[1381 1786]
[1382 1785]
[1382 1782]
[1381 1781]
[1381 1779]
[1380 1779]
[1096 1736]
[1096 1740]
[1097 1741]
[1098 1741]
[1099 1740]
[1100 1741]
[1101 1741]
[1102 1740]
[1102 1737]
[1101 1736]
[1219 1733]
[1216 1736]
[1216 1737]
[1217 1738]
[1217 1739]
[1218 1739]
[1219 1740]
[1222 1740]
[1224 1738]
[1224 1736]
[1223 1735]
[1223 1734]
[1220 1734]
[ 820 1721]
[ 819 1722]
[ 818 1722]
[ 816 1724]
[ 815 1724]
[ 815 1732]
[ 816 1732]
[ 817 1733]
[ 819 1733]
[ 820 1734]
[ 822 1734]
[ 824 1732]
[ 825 1732]
[ 825 1731]
[ 826 1730]
[ 826 1729]
[ 827 1728]
[ 827 1725]
[ 825 1723]
[ 825 1722]
[ 824 1721]
[2086 1708]
[2085 1709]
[2085 1712]
[2086 1713]
[2089 1713]
[2090 1712]
[2090 1710]
[2088 1708]
[1034 1536]
[1033 1537]
[1032 1537]
[1031 1538]
[1031 1539]
[1032 1540]
[1032 1541]
[1033 1541]
[1034 1542]
[1035 1542]
[1036 1541]
[1038 1541]
[1039 1540]
[1038 1539]
[1038 1538]
[1037 1537]
[1036 1537]
[1035 1536]
[  32 1450]
[  31 1451]
[  31 1452]
[  28 1455]
[  28 1456]
[  27 1457]
[  27 1459]
[  28 1459]
[  30 1461]
[  31 1461]
[  32 1462]
[  32 1463]
[  33 1462]
[  38 1462]
[  39 1461]
[  40 1462]
[  44 1462]
[  44 1461]
[  45 1460]
[  47 1460]
[  47 1458]
[  46 1458]
[  45 1457]
[  45 1456]
[  44 1455]
[  44 1453]
[  43 1453]
[  42 1452]
[  41 1452]
[  40 1451]
[  37 1451]
[  36 1450]
[  34 1452]
[  33 1452]
[  32 1451]
[ 234 1440]
[ 232 1442]
[ 232 1446]
[ 234 1448]
[ 236 1448]
[ 237 1449]
[ 241 1449]
[ 242 1448]
[ 243 1448]
[ 244 1447]
[ 246 1447]
[ 246 1444]
[ 244 1442]
[ 244 1440]
[ 243 1440]
[ 242 1441]
[ 241 1441]
[ 240 1440]
[3101 1402]
[3099 1404]
[3098 1404]
[3096 1406]
[3095 1406]
[3094 1407]
[3094 1408]
[3092 1410]
[3092 1414]
[3091 1415]
[3092 1416]
[3092 1421]
[3097 1426]
[3099 1426]
[3100 1427]
[3107 1427]
[3110 1424]
[3111 1424]
[3112 1423]
[3112 1422]
[3113 1421]
[3113 1419]
[3114 1418]
[3114 1417]
[3113 1416]
[3113 1412]
[3112 1411]
[3112 1408]
[3109 1405]
[3109 1404]
[3108 1403]
[3105 1403]
[3104 1402]
[1480 1283]
[1478 1285]
[1477 1285]
[1476 1284]
[1473 1284]
[1468 1289]
[1467 1289]
[1465 1291]
[1465 1292]
[1464 1293]
[1464 1294]
[1463 1295]
[1463 1296]
[1462 1297]
[1462 1299]
[1460 1301]
[1460 1303]
[1461 1304]
[1461 1312]
[1462 1313]
[1462 1315]
[1463 1316]
[1463 1319]
[1464 1320]
[1464 1322]
[1466 1324]
[1466 1325]
