X,Y,#
3656,2740,41
x,y,size
1487,1311,2390
3104,1414,431
3463,888,304
501,495,184
37,1456,169
821,1728,122
1376,1785,120
3320,2556,118
344,616,112
240,1444,102
1957,835,92
429,826,90
1846,1931,85
2631,1848,81
596,102,80
2360,1080,68
415,1222,63
460,2350,62
1062,2395,56
1018,193,54
1748,820,48
855,2123,44
940,2458,44
1004,720,42
1220,1737,40
1259,2648,40
640,833,40
808,2604,37
237,2178,36
619,6,34
314,2211,32
1035,1539,30
1153,2339,30
872,711,30
1421,601,30
1099,1739,28
527,1242,24
915,901,24
456,210,24
2087,1711,22
1762,1920,22
