X,Y,#
3656,2740,133
x,y
[3247 2734]
[3246 2735]
[3245 2735]
[3244 2736]
[3244 2739]
[3256 2739]
[3255 2738]
[3255 2737]
[3253 2735]
[3252 2735]
[3251 2734]
[ 734 2630]
[ 734 2632]
[ 729 2637]
[ 729 2639]
[ 730 2640]
[ 730 2642]
[ 731 2642]
[ 732 2641]
[ 733 2641]
[ 734 2640]
[ 735 2640]
[ 736 2639]
[ 737 2639]
[ 738 2640]
[ 739 2639]
[ 738 2638]
[ 738 2637]
[ 739 2636]
[ 739 2635]
[ 738 2634]
[ 737 2634]
[ 736 2633]
[ 736 2632]
[ 735 2631]
[ 735 2630]
[ 967 2629]
[ 966 2630]
[ 965 2630]
[ 962 2633]
[ 962 2635]
[ 963 2636]
[ 963 2637]
[ 965 2639]
[ 966 2638]
[ 967 2638]
[ 968 2637]
[ 969 2637]
[ 969 2636]
[ 970 2635]
[ 970 2632]
[ 969 2631]
[ 969 2630]
[ 968 2630]
[ 626 2628]
[ 624 2630]
[ 623 2630]
[ 621 2632]
[ 620 2631]
[ 621 2632]
[ 621 2634]
[ 619 2636]
[ 619 2638]
[ 618 2639]
[ 619 2640]
[ 619 2642]
[ 620 2642]
[ 621 2643]
[ 622 2643]
[ 623 2642]
[ 624 2643]
[ 625 2642]
[ 626 2642]
[ 628 2640]
[ 630 2640]
[ 633 2637]
[ 633 2634]
[ 634 2633]
[ 634 2631]
[ 633 2631]
[ 632 2630]
[ 631 2630]
[ 629 2628]
[ 628 2629]
[ 627 2629]
[ 794 2615]
[ 792 2617]
[ 791 2617]
[ 791 2618]
[ 790 2619]
[ 790 2620]
[ 789 2621]
[ 790 2622]
[ 789 2623]
[ 789 2626]
[ 788 2627]
[ 788 2628]
[ 789 2629]
[ 789 2630]
[ 790 2631]
[ 790 2632]
[ 791 2633]
[ 792 2633]
[ 793 2634]
[ 798 2634]
[ 799 2633]
[ 800 2634]
[ 801 2633]
[ 803 2633]
[ 805 2631]
[ 806 2631]
[ 806 2629]
[ 807 2628]
[ 808 2628]
[ 808 2623]
[ 807 2623]
[ 804 2620]
[ 804 2618]
[ 803 2617]
[ 802 2617]
[ 801 2616]
[ 800 2616]
[ 799 2615]
[1202 2538]
[1202 2539]
[1201 2540]
[1201 2543]
[1205 2543]
[1206 2542]
[1206 2540]
[1207 2539]
[1207 2538]
[1005 2519]
[1003 2521]
[1002 2521]
[1000 2523]
[1000 2528]
[1002 2530]
[1007 2530]
[1010 2527]
[1010 2524]
[1009 2523]
[1009 2520]
[1008 2520]
[1007 2519]
[2318 2511]
[2317 2512]
[2317 2516]
[2319 2518]
[2321 2518]
[2323 2516]
[2322 2515]
[2323 2514]
[2323 2512]
[2322 2512]
[2321 2511]
[1976 2483]
[1975 2484]
[1972 2484]
[1971 2485]
[1971 2489]
[1972 2489]
[1973 2490]
[1975 2490]
[1975 2488]
[1976 2487]
[1360 2479]
[1359 2480]
[1359 2481]
[1357 2483]
[1357 2488]
[1358 2489]
[1358 2490]
[1359 2490]
[1360 2491]
[1366 2491]
[1367 2490]
[1368 2490]
[1369 2489]
[1369 2488]
[1370 2487]
[1370 2483]
[1367 2480]
[1366 2480]
[1365 2479]
[1364 2479]
[1363 2480]
[1362 2479]
[1006 2479]
[1006 2480]
[1004 2482]
[1003 2482]
[1002 2483]
[1002 2484]
[1001 2485]
[1001 2491]
[1002 2491]
[1003 2492]
[1004 2492]
[1005 2493]
[1010 2493]
[1011 2492]
[1013 2492]
[1014 2491]
[1015 2491]
[1015 2490]
[1017 2488]
[1017 2485]
[1014 2482]
[1014 2481]
[1013 2480]
[1013 2479]
[2696 2464]
[2695 2465]
[2694 2465]
[2694 2469]
[2695 2470]
[2695 2471]
[2698 2471]
[2699 2472]
[2702 2469]
[2701 2468]
[2701 2466]
[2699 2464]
[3128 2379]
[3126 2381]
[3125 2380]
[3123 2380]
[3123 2381]
[3120 2384]
[3120 2385]
[3119 2386]
[3120 2387]
[3120 2388]
[3121 2389]
[3122 2389]
[3123 2390]
[3125 2390]
[3126 2389]
[3129 2389]
[3129 2388]
[3130 2387]
[3130 2386]
[3129 2385]
[3129 2383]
[3127 2381]
[3128 2380]
[2975 2254]
[2973 2256]
[2974 2257]
[2974 2259]
[2975 2260]
[2977 2260]
[2979 2258]
[2979 2255]
[2978 2254]
[2882 2222]
[2881 2223]
[2879 2223]
[2877 2225]
[2877 2227]
[2879 2229]
[2879 2234]
[2878 2235]
[2878 2242]
[2877 2243]
[2877 2248]
[2876 2249]
[2876 2251]
[2875 2252]
[2875 2255]
[2874 2256]
[2874 2261]
[2873 2262]
[2873 2264]
[2872 2265]
[2872 2267]
[2871 2268]
[2871 2273]
[2874 2276]
[2874 2277]
[2875 2278]
[2875 2280]
[2876 2281]
[2876 2282]
[2878 2284]
[2878 2285]
[2884 2291]
[2885 2291]
[2891 2297]
[2891 2298]
[2894 2301]
[2894 2302]
[2895 2302]
[2896 2303]
[2897 2303]
[2898 2304]
[2900 2304]
[2901 2303]
[2902 2304]
[2905 2304]
[2907 2302]
[2909 2302]
[2912 2299]
[2913 2299]
[2914 2298]
[2914 2297]
[2916 2295]
[2917 2295]
[2922 2290]
[2922 2289]
[2923 2288]
[2923 2287]
[2926 2284]
[2926 2283]
[2927 2282]
[2928 2282]
[2929 2281]
[2929 2280]
[2930 2279]
[2931 2279]
[2932 2278]
[2933 2278]
[2933 2277]
[2934 2276]
[2935 2276]
[2935 2275]
[2936 2274]
[2937 2274]
[2939 2272]
[2939 2271]
[2940 2270]
[2940 2261]
[2939 2260]
[2939 2258]
[2938 2257]
[2938 2256]
[2937 2255]
[2937 2254]
[2935 2252]
[2935 2250]
[2933 2248]
[2932 2249]
[2930 2249]
[2929 2248]
[2930 2247]
[2929 2246]
[2927 2246]
[2924 2243]
[2923 2243]
[2922 2242]
[2922 2241]
[2918 2237]
[2917 2237]
[2916 2236]
[2914 2236]
[2913 2235]
[2912 2235]
[2909 2232]
[2908 2232]
[2907 2231]
[2902 2231]
[2901 2230]
[2900 2230]
[2899 2229]
[2899 2228]
[2898 2228]
[2897 2227]
[2896 2227]
[2895 2226]
[2894 2226]
[2893 2225]
[2893 2224]
[2892 2224]
[2891 2223]
[2888 2223]
[2887 2222]
[ 103 2170]
[ 103 2171]
[ 102 2172]
[  99 2172]
[  99 2173]
[  98 2174]
[  97 2174]
[  96 2173]
[  96 2172]
[  96 2174]
[  95 2175]
[  96 2175]
[  98 2177]
[ 101 2177]
[ 102 2176]
[ 104 2178]
[ 104 2177]
[ 103 2176]
[ 103 2175]
[ 104 2174]
[ 106 2174]
[ 106 2173]
[ 105 2172]
