X,Y,#
2740,3656,133
x,y,size
542,1023,15294
3202,626,13450
3197,632,6063
2524,1166,4050
2883,856,3749
2906,2262,3690
162,853,3410
720,2102,3190
2162,983,2958
1227,2140,2628
690,848,2574
73,858,695
2081,929,684
2162,983,671
1127,1402,658
530,853,646
1741,583,626
1485,849,476
48,802,456
818,1483,452
1645,1102,442
798,1645,442
1012,1743,422
1623,677,348
1033,763,343
226,1836,340
1051,1879,338
725,992,309
797,2625,286
461,1049,281
3128,1913,266
3179,2018,252
1188,1391,248
3115,2119,231
837,603,200
3030,1338,200
672,754,197
1043,1763,191
1624,1927,190
1176,458,184
1223,364,176
522,1765,174
1009,2487,174
356,1638,157
625,2636,154
1280,1870,148
1159,1953,142
437,953,142
3388,1837,142
525,816,140
1038,25,136
1249,2040,136
2990,720,134
1188,828,130
1363,2485,129
1303,201,123
660,321,116
2905,2025,107
2687,1039,106
385,978,104
545,1912,101
838,1531,98
603,357,98
1377,1860,91
1012,413,91
1006,2523,88
1596,2130,87
2320,1167,86
739,897,86
766,1695,80
1013,1947,78
789,448,77
997,1951,76
1174,1571,76
3125,2385,75
2512,1221,74
1636,1212,68
416,849,68
2180,952,67
1285,210,66
735,2637,64
444,1060,62
1579,91,62
268,1251,58
939,1971,58
2163,976,56
764,823,56
1306,1575,54
797,2077,53
967,2634,53
684,319,52
836,262,48
1462,2094,48
899,474,48
2068,10,48
470,540,48
3250,2736,47
317,1814,46
2697,2468,46
1062,1865,46
812,925,46
2330,1866,45
764,3,45
101,2174,39
1434,283,35
678,438,35
2321,2514,35
2219,1497,32
2268,180,31
413,1171,30
746,825,29
1369,1976,29
594,902,29
2976,2257,28
1303,1915,28
1222,691,27
1974,2487,26
876,1679,26
3403,1831,26
1342,1827,26
1204,2540,24
817,1727,24
1152,1645,24
1261,335,24
2681,367,24
1969,1486,24
734,1620,24
3158,1806,23
2996,669,23
899,937,23
1066,490,22
394,555,21
1814,758,21
