X,Y,#
7312,2740,29
x,y,OK
101,2724,BAD
100,2725,BAD
99,2725,BAD
98,2726,BAD
96,2726,BAD
96,2730,BAD
97,2731,BAD
99,2731,BAD
100,2730,BAD
102,2730,BAD
102,2729,BAD
103,2728,BAD
103,2726,BAD
102,2726,BAD
101,2725,BAD
6875,2543,BAD
6874,2544,BAD
6873,2544,BAD
6873,2545,BAD
6871,2547,BAD
6871,2548,BAD
6870,2549,BAD
6870,2554,BAD
6871,2555,BAD
6871,2557,BAD
6872,2558,BAD
6872,2561,BAD
6873,2562,BAD
6873,2567,BAD
6875,2569,BAD
6876,2569,BAD
6877,2570,BAD
6879,2570,BAD
6880,2571,BAD
6882,2571,BAD
6883,2570,BAD
6886,2570,BAD
6887,2571,BAD
6888,2570,BAD
6889,2570,BAD
6891,2568,BAD
6892,2568,BAD
6892,2567,BAD
6893,2566,BAD
6893,2565,BAD
6894,2564,BAD
6894,2562,BAD
6893,2561,BAD
6893,2559,BAD
6892,2558,BAD
6892,2557,BAD
6891,2556,BAD
6891,2555,BAD
6889,2553,BAD
6889,2552,BAD
6888,2551,BAD
6888,2550,BAD
6887,2550,BAD
6885,2548,BAD
6885,2547,BAD
6882,2544,BAD
6881,2544,BAD
6880,2543,BAD
2622,2391,BAD
2620,2393,BAD
2619,2393,BAD
2618,2394,BAD
2618,2395,BAD
2617,2396,BAD
2617,2398,BAD
2618,2399,BAD
2618,2400,BAD
2621,2403,BAD
2622,2403,BAD
2623,2404,BAD
2624,2403,BAD
2627,2403,BAD
2630,2400,BAD
2630,2396,BAD
2629,2395,BAD
2629,2393,BAD
2628,2393,BAD
2627,2392,BAD
2626,2392,BAD
2625,2391,BAD
5893,2296,BAD
5892,2297,BAD
5888,2297,BAD
5887,2298,BAD
5887,2299,BAD
5886,2300,BAD
5886,2301,BAD
5884,2303,BAD
5884,2304,BAD
5883,2305,BAD
5883,2311,BAD
5884,2312,BAD
5884,2313,BAD
5886,2315,BAD
5887,2315,BAD
5888,2316,BAD
5896,2316,BAD
5898,2314,BAD
5899,2314,BAD
5900,2313,BAD
5900,2311,BAD
5902,2309,BAD
5902,2305,BAD
5901,2304,BAD
5901,2301,BAD
5900,2300,BAD
5900,2299,BAD
5899,2298,BAD
5898,2298,BAD
5897,2297,BAD
5894,2297,BAD
4598,2266,BAD
4597,2267,BAD
4596,2267,BAD
4596,2268,BAD
4595,2269,BAD
4595,2270,BAD
4594,2271,BAD
4594,2273,BAD
4595,2274,BAD
4595,2275,BAD
4596,2276,BAD
4597,2276,BAD
4598,2277,BAD
4601,2277,BAD
4603,2275,BAD
4603,2273,BAD
4604,2272,BAD
4604,2269,BAD
4603,2268,BAD
4603,2267,BAD
4602,2267,BAD
4601,2266,BAD
4357,2121,BAD
4356,2122,BAD
4353,2122,BAD
4352,2123,BAD
4350,2123,BAD
4348,2125,BAD
4347,2125,BAD
4343,2129,BAD
4343,2130,BAD
4342,2131,BAD
4342,2133,BAD
4340,2135,BAD
4340,2147,BAD
4341,2148,BAD
4341,2150,BAD
4342,2151,BAD
4342,2152,BAD
4343,2153,BAD
4343,2154,BAD
4344,2155,BAD
4344,2156,BAD
4347,2159,BAD
4348,2159,BAD
4349,2160,BAD
4351,2160,BAD
4352,2161,BAD
4357,2161,BAD
4358,2162,BAD
4359,2162,BAD
4360,2163,BAD
4361,2163,BAD
4363,2165,BAD
4364,2165,BAD
4365,2166,BAD
4368,2166,BAD
4369,2167,BAD
4377,2167,BAD
4378,2166,BAD
4380,2166,BAD
4381,2165,BAD
4382,2165,BAD
4383,2164,BAD
4384,2164,BAD
4384,2163,BAD
4386,2161,BAD
4386,2160,BAD
4387,2159,BAD
4387,2158,BAD
4388,2157,BAD
4387,2156,BAD
4388,2155,BAD
4388,2153,BAD
4389,2152,BAD
4388,2151,BAD
4388,2140,BAD
4387,2139,BAD
4387,2137,BAD
4386,2136,BAD
4386,2134,BAD
4385,2133,BAD
4385,2131,BAD
4384,2130,BAD
4384,2128,BAD
4383,2128,BAD
4378,2123,BAD
4378,2122,BAD
4377,2122,BAD
4376,2123,BAD
4375,2122,BAD
4373,2122,BAD
4372,2121,BAD
4365,2121,BAD
4364,2122,BAD
4363,2122,BAD
4362,2121,BAD
4361,2121,BAD
4360,2122,BAD
4359,2122,BAD
4358,2121,BAD
4737,2044,BAD
4736,2045,BAD
4730,2045,BAD
4729,2046,BAD
4727,2046,BAD
4726,2047,BAD
4724,2047,BAD
4723,2048,BAD
4720,2048,BAD
4719,2049,BAD
4718,2049,BAD
4717,2050,BAD
4717,2053,BAD
4718,2053,BAD
4719,2054,BAD
4720,2054,BAD
4721,2055,BAD
4722,2055,BAD
4723,2056,BAD
4725,2056,BAD
4726,2057,BAD
4727,2057,BAD
4728,2058,BAD
4729,2058,BAD
4730,2059,BAD
4732,2059,BAD
4733,2060,BAD
4736,2060,BAD
4737,2059,BAD
4739,2059,BAD
4742,2056,BAD
4743,2056,BAD
4745,2054,BAD
4745,2049,BAD
4743,2047,BAD
4743,2046,BAD
4742,2046,BAD
4741,2045,BAD
4739,2045,BAD
4738,2044,BAD
470,1975,BAD
469,1976,BAD
467,1976,BAD
465,1978,BAD
465,1979,BAD
464,1980,BAD
464,1983,BAD
465,1983,BAD
466,1984,BAD
469,1984,BAD
470,1983,BAD
472,1983,BAD
474,1981,BAD
475,1981,BAD
475,1980,BAD
474,1979,BAD
474,1978,BAD
472,1976,BAD
471,1976,BAD
2238,1935,BAD
2237,1936,BAD
2234,1936,BAD
2229,1941,BAD
2228,1941,BAD
2228,1942,BAD
2227,1943,BAD
2227,1944,BAD
2226,1945,BAD
2226,1947,BAD
2225,1948,BAD
2225,1950,BAD
2224,1951,BAD
2224,1957,BAD
2225,1958,BAD
2225,1962,BAD
2226,1963,BAD
2226,1964,BAD
2228,1966,BAD
2228,1967,BAD
2230,1969,BAD
2231,1969,BAD
2233,1971,BAD
2243,1971,BAD
2245,1969,BAD
2246,1969,BAD
2248,1967,BAD
2249,1967,BAD
2252,1964,BAD
2253,1964,BAD
2253,1962,BAD
2255,1960,BAD
2255,1949,BAD
2253,1947,BAD
2253,1946,BAD
2250,1943,BAD
2250,1942,BAD
2249,1941,BAD
2249,1940,BAD
2247,1938,BAD
2246,1938,BAD
2245,1937,BAD
2245,1936,BAD
2243,1936,BAD
2242,1935,BAD
1182,1652,BAD
1182,1653,BAD
1181,1654,BAD
1181,1656,BAD
1182,1657,BAD
1186,1657,BAD
1187,1656,BAD
1187,1653,BAD
1186,1652,BAD
442,1470,BAD
441,1471,BAD
439,1471,BAD
436,1474,BAD
435,1474,BAD
435,1478,BAD
434,1479,BAD
434,1480,BAD
438,1484,BAD
448,1484,BAD
452,1480,BAD
451,1479,BAD
452,1478,BAD
452,1476,BAD
451,1475,BAD
451,1474,BAD
448,1471,BAD
447,1471,BAD
446,1470,BAD
833,1382,BAD
831,1384,BAD
831,1386,BAD
833,1388,BAD
837,1388,BAD
838,1387,BAD
839,1387,BAD
839,1385,BAD
838,1384,BAD
838,1383,BAD
837,1382,BAD
6881,1317,BAD
6880,1318,BAD
6880,1319,BAD
6879,1320,BAD
6879,1321,BAD
6881,1323,BAD
6884,1323,BAD
6885,1322,BAD
6885,1321,BAD
6886,1320,BAD
6886,1318,BAD
6885,1317,BAD
6300,1212,BAD
6299,1213,BAD
6297,1213,BAD
