X,Y,#
7312,2740,29
x,y,OK
101,2724,BAD
99,2725,BAD
100,2725,BAD
101,2725,BAD
96,2726,BAD
97,2726,BAD
98,2726,BAD
99,2726,BAD
100,2726,BAD
101,2726,BAD
102,2726,BAD
103,2726,BAD
96,2727,BAD
97,2727,BAD
98,2727,BAD
99,2727,BAD
100,2727,BAD
101,2727,BAD
102,2727,BAD
103,2727,BAD
96,2728,BAD
97,2728,BAD
98,2728,BAD
99,2728,BAD
100,2728,BAD
101,2728,BAD
102,2728,BAD
103,2728,BAD
96,2729,BAD
97,2729,BAD
98,2729,BAD
99,2729,BAD
100,2729,BAD
101,2729,BAD
102,2729,BAD
96,2730,BAD
97,2730,BAD
98,2730,BAD
99,2730,BAD
100,2730,BAD
101,2730,BAD
102,2730,BAD
97,2731,BAD
98,2731,BAD
99,2731,BAD
6875,2543,BAD
6876,2543,BAD
6877,2543,BAD
6878,2543,BAD
6879,2543,BAD
6880,2543,BAD
6873,2544,BAD
6874,2544,BAD
6875,2544,BAD
6876,2544,BAD
6877,2544,BAD
6878,2544,BAD
6879,2544,BAD
6880,2544,BAD
6881,2544,BAD
6882,2544,BAD
6873,2545,BAD
6874,2545,BAD
6875,2545,BAD
6876,2545,BAD
6877,2545,BAD
6878,2545,BAD
6879,2545,BAD
6880,2545,BAD
6881,2545,BAD
6882,2545,BAD
6883,2545,BAD
6872,2546,BAD
6873,2546,BAD
6874,2546,BAD
6875,2546,BAD
6876,2546,BAD
6877,2546,BAD
6878,2546,BAD
6879,2546,BAD
6880,2546,BAD
6881,2546,BAD
6882,2546,BAD
6883,2546,BAD
6884,2546,BAD
6871,2547,BAD
6872,2547,BAD
6873,2547,BAD
6874,2547,BAD
6875,2547,BAD
6876,2547,BAD
6877,2547,BAD
6878,2547,BAD
6879,2547,BAD
6880,2547,BAD
6881,2547,BAD
6882,2547,BAD
6883,2547,BAD
6884,2547,BAD
6885,2547,BAD
6871,2548,BAD
6872,2548,BAD
6873,2548,BAD
6874,2548,BAD
6875,2548,BAD
6876,2548,BAD
6877,2548,BAD
6878,2548,BAD
6879,2548,BAD
6880,2548,BAD
6881,2548,BAD
6882,2548,BAD
6883,2548,BAD
6884,2548,BAD
6885,2548,BAD
6870,2549,BAD
6871,2549,BAD
6872,2549,BAD
6873,2549,BAD
6874,2549,BAD
6875,2549,BAD
6876,2549,BAD
6877,2549,BAD
6878,2549,BAD
6879,2549,BAD
6880,2549,BAD
6881,2549,BAD
6882,2549,BAD
6883,2549,BAD
6884,2549,BAD
6885,2549,BAD
6886,2549,BAD
6870,2550,BAD
6871,2550,BAD
6872,2550,BAD
6873,2550,BAD
6874,2550,BAD
6875,2550,BAD
6876,2550,BAD
6877,2550,BAD
6878,2550,BAD
6879,2550,BAD
6880,2550,BAD
6881,2550,BAD
6882,2550,BAD
6883,2550,BAD
6884,2550,BAD
6885,2550,BAD
6886,2550,BAD
6887,2550,BAD
6888,2550,BAD
6870,2551,BAD
6871,2551,BAD
6872,2551,BAD
6873,2551,BAD
6874,2551,BAD
6875,2551,BAD
6876,2551,BAD
6877,2551,BAD
6878,2551,BAD
6879,2551,BAD
6880,2551,BAD
6881,2551,BAD
6882,2551,BAD
6883,2551,BAD
6884,2551,BAD
6885,2551,BAD
6886,2551,BAD
6887,2551,BAD
6888,2551,BAD
6870,2552,BAD
6871,2552,BAD
6872,2552,BAD
6873,2552,BAD
6874,2552,BAD
6875,2552,BAD
6876,2552,BAD
6877,2552,BAD
6878,2552,BAD
6879,2552,BAD
6880,2552,BAD
6881,2552,BAD
6882,2552,BAD
6883,2552,BAD
6884,2552,BAD
6885,2552,BAD
6886,2552,BAD
6887,2552,BAD
6888,2552,BAD
6889,2552,BAD
6870,2553,BAD
6871,2553,BAD
6872,2553,BAD
6873,2553,BAD
6874,2553,BAD
6875,2553,BAD
6876,2553,BAD
6877,2553,BAD
6878,2553,BAD
6879,2553,BAD
6880,2553,BAD
6881,2553,BAD
6882,2553,BAD
6883,2553,BAD
6884,2553,BAD
6885,2553,BAD
6886,2553,BAD
6887,2553,BAD
6888,2553,BAD
6889,2553,BAD
6870,2554,BAD
6871,2554,BAD
6872,2554,BAD
6873,2554,BAD
6874,2554,BAD
6875,2554,BAD
6876,2554,BAD
6877,2554,BAD
6878,2554,BAD
6879,2554,BAD
6880,2554,BAD
6881,2554,BAD
6882,2554,BAD
6883,2554,BAD
6884,2554,BAD
6885,2554,BAD
6886,2554,BAD
6887,2554,BAD
6888,2554,BAD
6889,2554,BAD
6890,2554,BAD
6871,2555,BAD
6872,2555,BAD
6873,2555,BAD
6874,2555,BAD
6875,2555,BAD
6876,2555,BAD
6877,2555,BAD
6878,2555,BAD
6879,2555,BAD
6880,2555,BAD
6881,2555,BAD
6882,2555,BAD
6883,2555,BAD
6884,2555,BAD
6885,2555,BAD
6886,2555,BAD
6887,2555,BAD
6888,2555,BAD
6889,2555,BAD
6890,2555,BAD
6891,2555,BAD
6871,2556,BAD
6872,2556,BAD
6873,2556,BAD
6874,2556,BAD
6875,2556,BAD
6876,2556,BAD
6877,2556,BAD
6878,2556,BAD
6879,2556,BAD
6880,2556,BAD
6881,2556,BAD
6882,2556,BAD
6883,2556,BAD
6884,2556,BAD
6885,2556,BAD
6886,2556,BAD
6887,2556,BAD
6888,2556,BAD
6889,2556,BAD
6890,2556,BAD
6891,2556,BAD
6871,2557,BAD
6872,2557,BAD
6873,2557,BAD
6874,2557,BAD
6875,2557,BAD
6876,2557,BAD
6877,2557,BAD
6878,2557,BAD
6879,2557,BAD
6880,2557,BAD
6881,2557,BAD
6882,2557,BAD
6883,2557,BAD
6884,2557,BAD
6885,2557,BAD
6886,2557,BAD
6887,2557,BAD
6888,2557,BAD
6889,2557,BAD
6890,2557,BAD
6891,2557,BAD
6892,2557,BAD
6872,2558,BAD
6873,2558,BAD
6874,2558,BAD
6875,2558,BAD
6876,2558,BAD
6877,2558,BAD
6878,2558,BAD
6879,2558,BAD
6880,2558,BAD
6881,2558,BAD
6882,2558,BAD
6883,2558,BAD
6884,2558,BAD
6885,2558,BAD
6886,2558,BAD
6887,2558,BAD
6888,2558,BAD
6889,2558,BAD
6890,2558,BAD
6891,2558,BAD
6892,2558,BAD
6872,2559,BAD
6873,2559,BAD
6874,2559,BAD
6875,2559,BAD
6876,2559,BAD
6877,2559,BAD
6878,2559,BAD
6879,2559,BAD
6880,2559,BAD
6881,2559,BAD
6882,2559,BAD
6883,2559,BAD
6884,2559,BAD
6885,2559,BAD
6886,2559,BAD
6887,2559,BAD
6888,2559,BAD
6889,2559,BAD
6890,2559,BAD
6891,2559,BAD
6892,2559,BAD
6893,2559,BAD
6872,2560,BAD
6873,2560,BAD
6874,2560,BAD
6875,2560,BAD
6876,2560,BAD
6877,2560,BAD
6878,2560,BAD
6879,2560,BAD
6880,2560,BAD
6881,2560,BAD
6882,2560,BAD
6883,2560,BAD
6884,2560,BAD
6885,2560,BAD
6886,2560,BAD
6887,2560,BAD
6888,2560,BAD
6889,2560,BAD
6890,2560,BAD
6891,2560,BAD
6892,2560,BAD
6893,2560,BAD
6872,2561,BAD
6873,2561,BAD
6874,2561,BAD
6875,2561,BAD
6876,2561,BAD
6877,2561,BAD
6878,2561,BAD
6879,2561,BAD
6880,2561,BAD
6881,2561,BAD
6882,2561,BAD
6883,2561,BAD
6884,2561,BAD
